Title,Released,Prod_Budget,Dom_Gross,World_Gross
Percy Jackson & the Olympians: The Lightning Thief,2010-02-12,95000000.0,88768303.0,223050874.0
Seventh Son,2015-02-06,95000000.0,17223265.0,110623265.0
Black Hawk Down,2001-12-28,95000000.0,108638745.0,159691085.0
The Lovely Bones,2009-12-11,95000000.0,44114232.0,94894448.0
The Fifth Element,1997-05-09,95000000.0,63570862.0,263900000.0
The Campaign,2012-08-10,95000000.0,86907746.0,104907746.0
Ice Age: Continental Drift,2012-07-13,95000000.0,161321843.0,879765137.0
Sex and the City 2,2010-05-27,95000000.0,95347692.0,294680778.0
Unstoppable,2010-11-12,95000000.0,81562942.0,169511609.0
Cinderella,2015-03-13,95000000.0,201151353.0,534551353.0
The Lord of the Rings: The Return of the King,2003-12-17,94000000.0,377845905.0,1141408667.0
Finding Nemo,2003-05-30,94000000.0,380529370.0,936429370.0
The Lord of the Rings: The Two Towers,2002-12-18,94000000.0,342548984.0,934703179.0
Lara Croft: Tomb Raider,2001-06-15,94000000.0,131144183.0,273330185.0
Jurassic Park III,2001-07-18,93000000.0,181166115.0,365900000.0
Rise of the Planet of the Apes,2011-08-05,93000000.0,176760185.0,482860185.0
The Spiderwick Chronicles,2008-02-14,92500000.0,71195053.0,162839667.0
Cutthroat Island,1995-12-22,92000000.0,10017322.0,18517322.0
The Incredibles,2004-11-05,92000000.0,261441092.0,614726752.0
A Good Day to Die Hard,2013-02-14,92000000.0,67349198.0,304249198.0
The Alamo,2004-04-09,92000000.0,22406362.0,23911362.0
The Secret Life of Walter Mitty,2013-12-25,91000000.0,58236838.0,188536838.0
The Departed,2006-10-06,90000000.0,132384315.0,289660619.0
The Three Musketeers,2011-10-21,90000000.0,20377913.0,139877913.0
Bicentennial Man,1999-12-17,90000000.0,58220776.0,87420776.0
Rio,2011-04-15,90000000.0,143619809.0,487519809.0
Lara Croft: Tomb Raider: The Cradle of Life,2003-07-25,90000000.0,65653758.0,157092943.0
The Saint,1997-04-04,90000000.0,61363304.0,169400000.0
The Haunted Mansion,2003-11-26,90000000.0,75817994.0,155750628.0
Rush Hour 2,2001-08-03,90000000.0,226164286.0,347425832.0
Mulan,1998-06-19,90000000.0,120620254.0,303500000.0
Atlantis: The Lost Empire,2001-06-08,90000000.0,84052762.0,186049020.0
Percy Jackson: Sea of Monsters,2013-08-07,90000000.0,68559554.0,200859554.0
Tropic Thunder,2008-08-13,90000000.0,110461307.0,191091250.0
The Nutcracker in 3D,2010-11-24,90000000.0,195459.0,20466016.0
Volcano,1997-04-25,90000000.0,47546796.0,120100000.0
Valkyrie,2008-12-25,90000000.0,83077762.0,203902107.0
Men in Black,1997-07-01,90000000.0,250690539.0,587790539.0
Die Hard: With a Vengeance,1995-05-19,90000000.0,100012499.0,366101666.0
Conan the Barbarian,2011-08-19,90000000.0,21295021.0,63356133.0
The Devil's Own,1997-03-26,90000000.0,42885593.0,140900000.0
